"session","WHID_all","date","SiteID"
"Oakbay2023","['20-0725']",2023-09-19,"Site24a"
"Oakbay2023","['19-0719']",2023-09-20,"Site24a"
"Oakbay2023","['19-0719']",2023-09-20,"Site24a"
"Oakbay2023","['19-0719']",2023-09-20,"Site24a"
"Oakbay2023","['20-0706']",2023-09-20,"Site24a"
"Oakbay2023","['20-0706']",2023-09-20,"Site24a"
"Oakbay2023","['20-0706']",2023-09-20,"Site24a"
"Oakbay2023","['19-0719']",2023-09-22,"Site24a"
"Oakbay2023","['19-0719']",2023-09-22,"Site24a"
"Oakbay2023","['19-0719']",2023-09-24,"Site24a"
"Oakbay2023","['20-0706']",2023-09-24,"Site24a"
"Oakbay2023","['20-0706']",2023-09-24,"Site24a"
"Oakbay2023","['20-0706']",2023-09-24,"Site24a"
"Oakbay2023","['20-0725']",2023-09-28,"Site24a"
"Oakbay2023","['20-0725']",2023-09-29,"Site24a"
"Oakbay2023","['20-0725']",2023-09-29,"Site24a"
"Oakbay2023","['20-0725']",2023-09-29,"Site24a"
"Oakbay2023","['19-0719']",2023-09-30,"Site24a"
"Oakbay2023","['19-0719']",2023-09-21,"Site25"
"Oakbay2023","['20-0128']",2023-09-01,"Site27a"
"Oakbay2023","['20-0128']",2023-09-01,"Site27a"
"Oakbay2023","['20-0128']",2023-09-04,"Site27a"
"Oakbay2023","['20-0128']",2023-09-07,"Site27a"
"Oakbay2023","['20-0128']",2023-09-07,"Site27a"
"Oakbay2023","['20-0128']",2023-09-09,"Site27a"
"Oakbay2023","['20-0128']",2023-09-09,"Site27a"
"Oakbay2023","['20-0128']",2023-09-12,"Site27a"
"Oakbay2023","['20-0128']",2023-09-12,"Site27a"
"Oakbay2023","['20-0122']",2023-09-16,"Site27a"
"Oakbay2023","['20-0128']",2023-09-21,"Site27a"
"Oakbay2023","['19-0684']",2023-09-15,"Site29"
"Oakbay2023","['20-0705']",2023-09-04,"Site30"
"Oakbay2023","['20-0705']",2023-09-20,"Site30"
"Oakbay2023","['20-0705']",2023-09-26,"Site30"
"Oakbay2023","['20-0705']",2023-09-29,"Site30"
"Oakbay2023","['20-0678']",2023-09-07,"Site32"
"Oakbay2023","['19-0693']",2023-09-08,"Site32"
"Oakbay2023","['19-0693']",2023-09-25,"Site32"
"Oakbay2023","['19-0693']",2023-09-30,"Site32"
"Oakbay2023","['20-0125']",2023-09-07,"Site34"
"Oakbay2023","['20-0125']",2023-09-28,"Site34"
"Oakbay2023","['20-0124']",2023-09-05,"Site36a"
"Oakbay2023","['20-0124']",2023-09-08,"Site36a"
"Oakbay2023","['19-0693']",2023-09-19,"Site36a"
"Oakbay2023","['20-0124']",2023-09-19,"Site36a"
"Oakbay2023","['20-0124']",2023-09-22,"Site36a"
"Oakbay2023","['20-0124']",2023-09-24,"Site36a"
"Oakbay2023","['20-0124']",2023-09-27,"Site36a"
"Oakbay2023","['19-0697']",2023-09-01,"Site39"
"Oakbay2023","['20-0675']",2023-09-19,"Site39"
"Oakbay2023","['20-0124']",2023-09-20,"Site39"
